cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
0,AR,1567227525,76,-51.62,-69.23,39.2,12.75
32,RU,1567227640,39,61.92,159.24,54.77,6.4
40,IT,1567227640,69,45.92,10.83,79,1.12
93,PE,1567227640,94,-9.08,-78.59,59.27,11.34
20,CA,1567227640,41,60.72,-135.06,60.8,4.7
77,RU,1567227641,64,62.71,56.19,47.57,8.93
40,PG,1567227641,66,-6.72,146.98,84.2,11.41
1,US,1567227641,31,39.39,-110.45,80.01,3.36
20,BR,1567227641,93,-27.75,-48.51,68,25.28
0,RU,1567227641,42,61.28,108.01,67.01,3.09
1,US,1567227642,88,40.8,-72.84,73.4,5.82
62,HT,1567227642,80,18.56,-74.26,79.97,3.76
0,LY,1567227642,58,30.75,20.22,77.63,14.88
1,US,1567227344,88,27.97,-82.8,80.6,3.36
1,US,1567227557,37,36.73,-108.21,66.2,3.36
1,US,1567227643,69,34.11,-118.17,77,4.65
0,AU,1567227643,47,-33.9,148.16,62.87,4.9
98,GH,1567227643,91,4.89,-1.75,73.67,6.29
100,CN,1567227643,95,27.88,102.25,56.03,2.53
0,IT,1567227423,77,41.89,12.48,75.2,4.7
0,CN,1567227644,31,40.77,114.88,70.43,2.04
20,JP,1567227644,57,37.4,136.9,80.6,12.75
20,BB,1567227644,78,13.22,-59.52,82.4,11.41
61,RU,1567227644,37,57.84,108.35,70.61,3.53
83,CM,1567227645,97,2.91,11.16,68.45,1.92
0,CA,1567227400,94,54.72,-113.29,46.13,4.5
100,AO,1567227645,90,-6.13,12.37,71.87,10.8
59,RU,1567227645,43,55.15,124.74,62.87,1.68
40,US,1567227646,78,33.5,-93.78,78.01,3.36
33,ML,1567227601,83,13.3,-4.9,76.01,6.89
1,US,1567227646,49,42.03,-121.6,71.6,6.93
1,US,1567227472,78,34.88,-76.9,77,2.71
0,HR,1567227646,60,43.05,17.65,68,4.7
75,JP,1567227646,74,35.73,140.83,84.2,10.29
1,US,1567227647,44,43.02,-108.38,66.2,3.02
5,CA,1567227647,88,44.65,-63.58,64,8.05
5,IN,1567227647,44,27.88,78.07,97.97,4.18
98,IN,1567227647,78,10.57,72.64,81.77,17.45
1,US,1567227648,94,36.12,-97.06,72,4.7
0,FR,1567227648,88,42.82,2.16,72,2.24
90,AU,1567227648,34,-30.98,150.25,68,5.82
1,US,1567227574,93,46.36,-94.2,54,3.74
56,CO,1567227648,95,4.86,-73.04,48.65,3.56
30,EC,1567227649,86,-2.91,-79.82,68.09,5.97
88,MX,1567227649,84,29.81,-109.68,70.79,5.21
100,CN,1567227649,63,28.08,109.56,76.73,8.95
40,IR,1567227649,56,38.23,44.7,68,7.45
16,RU,1567227650,53,52.54,43.26,58.55,4.9
20,MX,1567227650,83,16.86,-99.88,84.2,2.24
89,NO,1567227650,95,70.98,25.97,50.09,7.02
92,CA,1567227650,98,46.7,-75.45,49.55,6.58
