cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
0,MN,1567226993,39,48.81,103.53,74.75,2.51
0,FR,1567226995,88,45.6,-0.6,64.4,3.36
20,CA,1567226953,93,49.72,-86.95,44.6,3.36
33,ML,1567226904,83,13.3,-4.9,76.01,6.89
90,CA,1567227539,100,50.23,-63.6,55.4,5.82
83,IN,1567227539,71,20.51,76.21,82.67,9.15
56,UA,1567227539,32,48.91,31.71,70.43,2.46
65,RU,1567227539,51,61.68,96.39,67.01,11.43
90,US,1567227540,76,60.79,-161.76,59,6.93
99,PG,1567226981,71,-2.57,150.8,84.11,5.95
0,ID,1567227012,83,-7.94,110.25,73.49,24.47
75,LR,1567226965,94,6.38,-10.7,75.2,5.14
11,NZ,1567227540,40,-45.19,169.32,63,1.01
100,GB,1567227541,93,55.8,-4.3,61,21.92
75,VU,1567227541,70,-15.51,167.18,84.2,5.82
92,BR,1567226944,86,-17.73,-39.27,68.45,4.7
75,TO,1567227541,69,-18.65,-173.98,73.4,8.05
1,US,1567227541,69,31.8,-97.09,80.6,3.36
39,RU,1567227542,88,50.68,156.12,50.81,13.22
0,NE,1567227542,33,18.69,12.92,88.79,3.76
0,AR,1567227542,76,-51.62,-69.23,39.2,12.75
0,UY,1567227543,87,-34.38,-55.24,50,9.17
75,JP,1567227543,69,34.51,131.49,82.4,13.87
100,SB,1567227543,79,-10.46,161.92,81.41,10.09
40,PF,1567227543,74,-17.53,-149.33,80.6,11.41
100,AZ,1567227544,95,39.03,46.72,59.09,5.35
6,RU,1567227544,75,53.34,40.13,63.05,5.41
90,PE,1567227544,93,-7.84,-79.15,60.8,6.93
40,BR,1567227544,88,-5.2,-35.46,71.6,4.7
0,AR,1567227544,76,-51.62,-69.23,39.2,12.75
85,PE,1567227545,90,-6.87,-78.15,41.99,5.75
20,CU,1567227545,100,22.78,-82.23,73.4,1.12
75,JP,1567227545,70,26.12,127.67,91.4,10.29
0,CD,1567226897,36,-7.04,29.76,77.99,2.59
75,NG,1567227545,100,9.92,8.9,64.4,5.82
30,UA,1567227546,35,48.49,32.24,70.25,2.66
99,FO,1567227001,100,62.23,-6.59,50,4.7
75,GM,1567227546,100,13.18,-16.76,75.2,1.12
20,US,1567227546,77,37.61,-122.49,66.2,10.29
90,AU,1567227546,44,-23.13,150.74,77,8.05
75,MU,1567227547,68,-20.26,57.41,75.99,10.29
90,PG,1567227547,80,-2.02,147.27,82.31,8.46
87,PH,1567227012,78,17.49,120.43,82.49,10.56
87,MR,1567227547,55,20.52,-13.05,87.35,14.7
98,PG,1567227547,70,-6.22,155.63,84.83,6.85
